Al Kut[Iraq]---109,03km--->Ad Diwaniyah[Iraq]
Ad Diwaniyah[Iraq]---65,61km--->An Najaf[Iraq]
An Najaf[Iraq]---40,21km--->Al Hillah[Iraq]
Al Hillah[Iraq]---69,89km--->Baghdad[Iraq]
Baghdad[Iraq]---39,38km--->Baqubah[Iraq]
Baqubah[Iraq]---150,23km--->Ar Ramadi[Iraq]
Ar Ramadi[Iraq]---174,89km--->Anah[Iraq]
Anah[Iraq]---112,32km--->Abu Kamal[Syria]
Abu Kamal[Syria]---71,00km--->Al Mayadin[Syria]
Al Mayadin[Syria]---127,70km--->Al Hasakah[Syria]
Al Hasakah[Syria]---70,57km--->Al Qamishli[Syria]
Al Qamishli[Syria]---27,01km--->As Suwar[Syria]
As Suwar[Syria]---286,10km--->Ar Raqqah[Syria]
Ar Raqqah[Syria]---170,77km--->Al Bab[Syria]
Al Bab[Syria]---41,72km--->Aleppo[Syria]
Aleppo[Syria]---36,24km--->Azaz[Syria]
Azaz[Syria]---198,56km--->Adana[Turkey]
Adana[Turkey]---333,93km--->Amasya[Turkey]
Amasya[Turkey]---337,88km--->Ankara[Turkey]
Ankara[Turkey]---859,35km--->Azraq ash Shishan[Jordan]
Azraq ash Shishan[Jordan]---192,57km--->At Turayf[Saudi Arabia]
At Turayf[Saudi Arabia]---218,90km--->Al Jawf[Saudi Arabia]
Al Jawf[Saudi Arabia]---166,67km--->Badanah[Saudi Arabia]
Badanah[Saudi Arabia]---191,98km--->Ar Rutbah[Iraq]
Ar Rutbah[Iraq]---573,58km--->As Samawah[Iraq]
As Samawah[Iraq]---209,71km--->Al Amarah[Iraq]
Al Amarah[Iraq]---188,58km--->Bakhtaran[Iran]
Bakhtaran[Iran]---205,42km--->As Sulaymaniyah[Iraq]
As Sulaymaniyah[Iraq]---359,53km--->Artashat[Armenia]
Artashat[Armenia]---34,24km--->Ashtarak[Armenia]
Ashtarak[Armenia]---48,36km--->Artik[Armenia]
Artik[Armenia]---36,23km--->Amasiya[Armenia]
Amasiya[Armenia]---71,17km--->Bakuriani[Georgia (Asia)]
Bakuriani[Georgia (Asia)]---51,89km--->Akhaltsikhe[Georgia (Asia)]
Akhaltsikhe[Georgia (Asia)]---31,05km--->Abastumani[Georgia (Asia)]
Abastumani[Georgia (Asia)]---122,33km--->Artvin[Turkey]
Artvin[Turkey]---314,71km--->Alaverdi[Armenia]
Alaverdi[Armenia]---88,96km--->Agstafa[Azerbaijan]
Agstafa[Azerbaijan]---37,70km--->Artsvashen[Armenia]
Artsvashen[Armenia]---166,09km--->Agdam[Azerbaijan]
Agdam[Azerbaijan]---57,94km--->Agcabadi[Azerbaijan]
Agcabadi[Azerbaijan]---614,91km--->Balkhan[Turkmenistan]
Balkhan[Turkmenistan]---234,04km--->Babol[Iran]
Babol[Iran]---941,63km--->Al Qaysumah[Saudi Arabia]
Al Qaysumah[Saudi Arabia]---497,89km--->Afif[Saudi Arabia]
Afif[Saudi Arabia]---403,11km--->As Sulayyil[Saudi Arabia]
As Sulayyil[Saudi Arabia]---845,46km--->Adigrat[Ethiopia]
Adigrat[Ethiopia]---84,39km--->Aksum[Ethiopia]
Aksum[Ethiopia]---65,96km--->Adi Ugri[Eritrea]
Adi Ugri[Eritrea]---40,83km--->Asmara[Eritrea]
Asmara[Eritrea]---110,80km--->Akordat[Eritrea]
Akordat[Eritrea]---354,25km--->Bahir Dar[Ethiopia]
Bahir Dar[Ethiopia]---268,68km--->Addis Ababa[Ethiopia]
Addis Ababa[Ethiopia]---104,96km--->Asela[Ethiopia]
Asela[Ethiopia]---242,69km--->Arba Minch[Ethiopia]
Arba Minch[Ethiopia]---494,59km--->Asosa[Ethiopia]
Asosa[Ethiopia]---164,05km--->Ar Rusayris[Sudan]
Ar Rusayris[Sudan]---539,89km--->Atbarah[Sudan]
Atbarah[Sudan]---1084,03km--->Al Uwaynat[Libya]
Al Uwaynat[Libya]---316,60km--->Al Jawf[Libya]
