Akureyri[Iceland]---466,57km--->Akranes[Iceland]
Akranes[Iceland]---1731,21km--->Angmagssalik[Greenland]
Angmagssalik[Greenland]---3194,22km--->Alberton[Prince Edward Island]
Alberton[Prince Edward Island]---49,22km--->Amherst[Nova Scotia]
Amherst[Nova Scotia]---155,70km--->Annapolis Royal[Nova Scotia]

Total Calculation :Istanbul----- 181103,53km ------>Annapolis Royal

Annapolis Royal[Nova Scotia]---155,70km--->Amherst[Nova Scotia]
Amherst[Nova Scotia]---49,22km--->Alberton[Prince Edward Island]
Alberton[Prince Edward Island]---956,46km--->Amherst[Massachusetts]
Amherst[Massachusetts]---138,18km--->Albany[New York]
Albany[New York]---48,69km--->Amsterdam[New York]
Amsterdam[New York]---158,87km--->Allentown[Pennsylvania]
Allentown[Pennsylvania]---83,39km--->Aberdeen[Maryland]
Aberdeen[Maryland]---38,11km--->Annapolis[Maryland]
Annapolis[Maryland]---61,31km--->Alexandria[Virginia]
Alexandria[Virginia]---154,38km--->Altoona[Pennsylvania]
Altoona[Pennsylvania]---221,93km--->Albion[Pennsylvania]
Albion[Pennsylvania]---124,51km--->Albemarle[North Carolina]
Albemarle[North Carolina]---131,35km--->Allendale[South Carolina]
Allendale[South Carolina]---47,60km--->Aiken[South Carolina]
Aiken[South Carolina]---102,16km--->Anderson[South Carolina]
Anderson[South Carolina]---160,04km--->Akron[Ohio]
Akron[Ohio]---222,19km--->Alpena[Michigan]
Alpena[Michigan]---47,86km--->Ann Arbor[Michigan]
Ann Arbor[Michigan]---133,47km--->Americus[Georgia (U.S.)]
Americus[Georgia (U.S.)]---9,36km--->Albany[Georgia (U.S.)]
Albany[Georgia (U.S.)]---133,21km--->Angola[Indiana]
Angola[Indiana]---76,86km--->Anderson[Indiana]
Anderson[Indiana]---55,61km--->Anniston[Alabama]
Anniston[Alabama]---74,34km--->Andalusia[Alabama]
Andalusia[Alabama]---305,60km--->Aguilares[El Salvador]
Aguilares[El Salvador]---72,28km--->Acajutla[El Salvador]
Acajutla[El Salvador]---2,23km--->Ahuachapan[El Salvador]
Ahuachapan[El Salvador]---36,92km--->Alton[Illinois]
Alton[Illinois]---50,46km--->Amatitlan[Guatemala]
Amatitlan[Guatemala]---12,23km--->Antigua[Guatemala]
Antigua[Guatemala]---146,44km--->Alma[Wisconsin]
Alma[Wisconsin]---80,88km--->Alexandria[Louisiana]
