Berchtesgaden[Germany]---69,42km--->Braunau[Austria]
Braunau[Austria]---155,26km--->Cesky Krumlov[Czech Republic]
Cesky Krumlov[Czech Republic]---23,98km--->Ceske Budejovice[Czech Republic]
Ceske Budejovice[Czech Republic]---89,20km--->Benesov[Czech Republic]
Benesov[Czech Republic]---69,18km--->Beroun[Czech Republic]
Beroun[Czech Republic]---215,72km--->Amstetten[Austria]
Amstetten[Austria]---227,28km--->Brno[Czech Republic]
Brno[Czech Republic]---53,56km--->Breclav[Czech Republic]
Breclav[Czech Republic]---71,12km--->Bratislava[Slovakia]
Bratislava[Slovakia]---133,34km--->Capljina[Bosnia-Herzegovina]
Capljina[Bosnia-Herzegovina]---508,14km--->Boleslawiec[Poland]
Boleslawiec[Poland]---276,28km--->Berlin[Germany]
Berlin[Germany]---335,97km--->Allinge[Denmark]
Allinge[Denmark]---419,70km--->Bydgoszcz[Poland]
Bydgoszcz[Poland]---156,03km--->Brodnica[Poland]
Brodnica[Poland]---187,45km--->Bartoszyce[Poland]
Bartoszyce[Poland]---248,08km--->Augustow[Poland]
Augustow[Poland]---75,52km--->Bialystok[Poland]
Bialystok[Poland]---112,50km--->Biala Podlaska[Poland]
Biala Podlaska[Poland]---63,78km--->Brest[Belarus]
Brest[Belarus]---148,85km--->Byaroza[Belarus]
Byaroza[Belarus]---131,37km--->Baranovichi[Belarus]
Baranovichi[Belarus]---211,07km--->Adutiskis[Lithuania]
Adutiskis[Lithuania]---67,49km--->Braslav[Belarus]
Braslav[Belarus]---145,76km--->Begoml[Belarus]
Begoml[Belarus]---67,05km--->Borisov[Belarus]
Borisov[Belarus]---134,40km--->Bobruysk[Belarus]
Bobruysk[Belarus]---118,91km--->Bykhov[Belarus]
Bykhov[Belarus]---484,84km--->Balvi[Latvia]
Balvi[Latvia]---36,30km--->Aluksne[Latvia]
Aluksne[Latvia]---43,64km--->Ape[Latvia]
Ape[Latvia]---32,77km--->Antsla[Estonia]
Antsla[Estonia]---151,54km--->Cesis[Latvia]
Cesis[Latvia]---62,72km--->Aloja[Latvia]
Aloja[Latvia]---59,79km--->Ainazi[Latvia]
Ainazi[Latvia]---150,21km--->Bauska[Latvia]
Bauska[Latvia]---66,54km--->Birzai[Lithuania]
